"projectID";"euroSciVocCode";"euroSciVocPath";"euroSciVocTitle";"euroSciVocDescription"
"101105480";"/25/67/419";"/engineering and technology/environmental engineering/remote sensing";"remote sensing";""
"101105480";"/23/47/301/953";"/natural sciences/computer and information sciences/computational science/multiphysics";"multiphysics";""
"101105480";"/23/45/293/907";"/natural sciences/earth and related environmental sciences/physical geography/glaciology";"glaciology";""
"101059984";"/29/89";"/social sciences/law";"law";""
"101169110";"/23/49/315";"/natural sciences/biological sciences/biochemistry";"biochemistry";""
"101169110";"/23/49/337/1015";"/natural sciences/biological sciences/genetics/DNA";"DNA";""
"101169110";"/27/81/30021";"/agricultural sciences/agriculture, forestry, and fisheries/agriculture";"agriculture";""
"101168851";"/23/49/315/997/1613";"/natural sciences/biological sciences/biochemistry/biomolecules/proteins";"proteins";""
"101168851";"/21/35/159/653/1439";"/medical and health sciences/basic medicine/pharmacology and pharmacy/pharmaceutical drugs/vaccines";"vaccines";""
"101168851";"/21/39/225";"/medical and health sciences/clinical medicine/oncology";"oncology";""
"101168851";"/23/49/329";"/natural sciences/biological sciences/biophysics";"biophysics";""
"101110738";"/29/97/541";"/social sciences/political sciences/political communication";"political communication";""
"101110738";"/29/101/559";"/social sciences/sociology/governance";"governance";""
"101110738";"/29/91/521/44428049";"/social sciences/economics and business/economics/political economy";"political economy";""
"101110738";"/29/97/537";"/social sciences/political sciences/public administration";"public administration";""
"101169183";"/29/101";"/social sciences/sociology";"sociology";""
"101169183";"/29/97/87917856/1335/1331";"/social sciences/political sciences/political policies/civil society/nongovernmental organizations";"nongovernmental organizations";""
"101169183";"/31/113/613";"/humanities/history and archaeology/history";"history";""
"101169183";"/29/97/543/1337";"/social sciences/political sciences/government systems/democracy";"democracy";""
"101169183";"/31/115/563/8796787";"/humanities/other humanities/library sciences/knowledge organization";"knowledge organization";""
"101131263";"/27/81/30021";"/agricultural sciences/agriculture, forestry, and fisheries/agriculture";"agriculture";""
"101064728";"/29/101/553/1357";"/social sciences/sociology/demography/fertility";"fertility";""
"101150317";"/29/105/573";"/social sciences/educational sciences/didactics";"didactics";""
"101150317";"/31/109";"/humanities/arts";"arts";""
"101169223";"/21/39/225";"/medical and health sciences/clinical medicine/oncology";"oncology";""
"101066732";"/23/49/337/1015";"/natural sciences/biological sciences/genetics/DNA";"DNA";""
"101066732";"/23/49/315/997/1613";"/natural sciences/biological sciences/biochemistry/biomolecules/proteins";"proteins";""
"101066732";"/23/49/337/1017";"/natural sciences/biological sciences/genetics/mutation";"mutation";""
"101066732";"/21/39/225";"/medical and health sciences/clinical medicine/oncology";"oncology";""
"101062705";"/25/77/84897392/1187";"/engineering and technology/civil engineering/water engineering/irrigation";"irrigation";""
"101062705";"/31/113/613";"/humanities/history and archaeology/history";"history";""
"101062705";"/25/73/30020/455/1225/1727";"/engineering and technology/electrical engineering, electronic engineering, information engineering/information engineering/telecommunications/radio technology/radar";"radar";""
"101062705";"/31/113/611";"/humanities/history and archaeology/archaeology";"archaeology";""
"101105032";"/27/81/30021/493/491";"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/agronomy/plant protection";"plant protection";""
"101067260";"/21/33/137/133";"/medical and health sciences/health sciences/public health/epidemiology";"epidemiology";""
"101067260";"/21/39/179/681";"/medical and health sciences/clinical medicine/endocrinology/diabetes";"diabetes";""
"101067260";"/21/39/697";"/medical and health sciences/clinical medicine/obstetrics";"obstetrics";""
"101067260";"/23/53/361/1081";"/natural sciences/chemical sciences/analytical chemistry/mass spectrometry";"mass spectrometry";""
"101067260";"/21/35/147";"/medical and health sciences/basic medicine/toxicology";"toxicology";""
"101151106";"/23/51/359/1071";"/natural sciences/mathematics/pure mathematics/topology";"topology";""
"101151106";"/23/49/335/1009";"/natural sciences/biological sciences/ecology/ecosystems";"ecosystems";""
"101149684";"/31/113/613";"/humanities/history and archaeology/history";"history";""
"101149684";"/23/49/345/1045/1627";"/natural sciences/biological sciences/zoology/mammalogy/cetology";"cetology";""
"101149684";"/23/49/335/1009";"/natural sciences/biological sciences/ecology/ecosystems";"ecosystems";""
"101149684";"/29/89";"/social sciences/law";"law";""
"101151810";"/29/93/527";"/social sciences/psychology/psychotherapy";"psychotherapy";""
"101066638";"/25/67/89023697/1183";"/engineering and technology/environmental engineering/water treatment processes/wastewater treatment processes";"wastewater treatment processes";""
"101066638";"/29/91/521/83249330";"/social sciences/economics and business/economics/bioeconomy";"bioeconomy";""
"101066638";"/25/61/383/1147/1677";"/engineering and technology/industrial biotechnology/biomaterials/bioplastics/polyhydroxyalkanoates";"polyhydroxyalkanoates";""
"101150737";"/25/67/429/97581411/1181";"/engineering and technology/environmental engineering/waste management/waste treatment processes/recycling";"recycling";""
"101150737";"/23/53/69669548/1135";"/natural sciences/chemical sciences/catalysis/electrocatalysis";"electrocatalysis";""
"101150737";"/23/53/373/1131";"/natural sciences/chemical sciences/electrochemistry/electrolysis";"electrolysis";""
"101150737";"/25/67/425";"/engineering and technology/environmental engineering/energy and fuels";"energy and fuels";""
"101061438";"/23/49/335";"/natural sciences/biological sciences/ecology";"ecology";""
"101061438";"/29/101/1367/1771/1773";"/social sciences/sociology/social issues/social inequalities/racial inequality";"racial inequality";""
"101061438";"/31/109/595/589";"/humanities/arts/modern and contemporary art/cinematography";"cinematography";""
"101061438";"/29/97/543";"/social sciences/political sciences/government systems";"government systems";""
"101155102";"/23/43/267";"/natural sciences/physical sciences/atomic physics";"atomic physics";""
"101153990";"/23/45/277/829";"/natural sciences/earth and related environmental sciences/environmental sciences/pollution";"pollution";""
"101126602";"/21/33/30011/623";"/medical and health sciences/health sciences/health care services/eHealth";"eHealth";""
"101107015";"/23/49/337/1015";"/natural sciences/biological sciences/genetics/DNA";"DNA";""
"101107015";"/21/33/137/133/9678651";"/medical and health sciences/health sciences/public health/epidemiology/pandemics";"pandemics";""
"101107015";"/21/39/225";"/medical and health sciences/clinical medicine/oncology";"oncology";""
"101107015";"/23/49/337/1021";"/natural sciences/biological sciences/genetics/RNA";"RNA";""
"101153913";"/23/49/315";"/natural sciences/biological sciences/biochemistry";"biochemistry";""
"101153913";"/23/49/335/1009";"/natural sciences/biological sciences/ecology/ecosystems";"ecosystems";""
"101153913";"/27/81/30021";"/agricultural sciences/agriculture, forestry, and fisheries/agriculture";"agriculture";""
"101153913";"/23/49/345/1039";"/natural sciences/biological sciences/zoology/entomology";"entomology";""
"101153913";"/25/61/385/1151";"/engineering and technology/industrial biotechnology/bioprocessing technologies/fermentation";"fermentation";""
"101059190";"/23/49/315/997/1613";"/natural sciences/biological sciences/biochemistry/biomolecules/proteins";"proteins";""
"101059190";"/23/51/359/1065";"/natural sciences/mathematics/pure mathematics/geometry";"geometry";""
"101150544";"/23/47/303";"/natural sciences/computer and information sciences/databases";"databases";""
"101150544";"/23/49/335/1009";"/natural sciences/biological sciences/ecology/ecosystems";"ecosystems";""
"101110677";"/23/53/69669548/1665";"/natural sciences/chemical sciences/catalysis/photocatalysis";"photocatalysis";""
"101182768";"/23/47/305";"/natural sciences/computer and information sciences/internet";"internet";""
"101182768";"/23/47/303";"/natural sciences/computer and information sciences/databases";"databases";""
"101182768";"/23/47/295/917";"/natural sciences/computer and information sciences/computer security/cryptography";"cryptography";""
"101155157";"/23/43/251/48354418";"/natural sciences/physical sciences/optics/microscopy";"microscopy";""
"101155653";"/21/35/153/22901471/633";"/medical and health sciences/basic medicine/neurology/dementia/alzheimer";"alzheimer";""
"101155653";"/29/101/561/1379";"/social sciences/sociology/anthropology/ethnology";"ethnology";""
"101155653";"/21/35/145";"/medical and health sciences/basic medicine/pathology";"pathology";""
"101153428";"/23/43/269/811/34823946";"/natural sciences/physical sciences/classical mechanics/fluid mechanics/microfluidics";"microfluidics";""
"101062302";"/23/49/313/993";"/natural sciences/biological sciences/cell biology/cell metabolism";"cell metabolism";""
"101062302";"/23/43/251/48354418";"/natural sciences/physical sciences/optics/microscopy";"microscopy";""
"101062302";"/21/39/225";"/medical and health sciences/clinical medicine/oncology";"oncology";""
"101062302";"/21/35/155/643";"/medical and health sciences/basic medicine/immunology/immunotherapy";"immunotherapy";""
"101103149";"/23/49/341/1035";"/natural sciences/biological sciences/microbiology/bacteriology";"bacteriology";""
"101103149";"/23/49/335/1009";"/natural sciences/biological sciences/ecology/ecosystems";"ecosystems";""
"101103149";"/21/35/161/655";"/medical and health sciences/basic medicine/physiology/homeostasis";"homeostasis";""
"101103149";"/23/49/315/997/1613/1617";"/natural sciences/biological sciences/biochemistry/biomolecules/proteins/enzymes";"enzymes";""
"101103149";"/27/81/30021/30833628/72257146";"/agricultural sciences/agriculture, forestry, and fisheries/agriculture/grains and oilseeds/legumes";"legumes";""
"101105041";"/21/39/225";"/medical and health sciences/clinical medicine/oncology";"oncology";""
"101149607";"/25/67/425/1169/1695";"/engineering and technology/environmental engineering/energy and fuels/renewable energy/wind power";"wind power";""
"101149607";"/23/47/301/953";"/natural sciences/computer and information sciences/computational science/multiphysics";"multiphysics";""
"101149607";"/25/77/475/1259";"/engineering and technology/civil engineering/transportation engineering/highway engineering";"highway engineering";""
"101149607";"/23/51/355/1061";"/natural sciences/mathematics/applied mathematics/numerical analysis";"numerical analysis";""
"101153456";"/29/91/523/1313";"/social sciences/economics and business/business and management/employment";"employment";""
"101106803";"/31/111/609";"/humanities/philosophy, ethics and religion/philosophy";"philosophy";""
"101072845";"/23/53/365/1111";"/natural sciences/chemical sciences/inorganic chemistry/inorganic compounds";"inorganic compounds";""
"101072845";"/25/73/453/58525161";"/engineering and technology/electrical engineering, electronic engineering, information engineering/electronic engineering/sensors";"sensors";""
"101072845";"/23/45/277/829";"/natural sciences/earth and related environmental sciences/environmental sciences/pollution";"pollution";""
"101072845";"/23/43/259/777";"/natural sciences/physical sciences/electromagnetism and electronics/semiconductivity";"semiconductivity";""
"101086321";"/23/49/327";"/natural sciences/biological sciences/neurobiology";"neurobiology";""
"101086321";"/29/103/567";"/social sciences/media and communications/journalism";"journalism";""
"101150107";"/23/53/69669548";"/natural sciences/chemical sciences/catalysis";"catalysis";""
"101065960";"/23/45/30018/30032/835";"/natural sciences/earth and related environmental sciences/atmospheric sciences/climatology/climatic zones";"climatic zones";""
"101065960";"/31/113/613";"/humanities/history and archaeology/history";"history";""
"101065960";"/23/49/335/1009";"/natural sciences/biological sciences/ecology/ecosystems";"ecosystems";""
"101152749";"/21/35/153/635";"/medical and health sciences/basic medicine/neurology/stroke";"stroke";""
"101110839";"/23/49/341/1035";"/natural sciences/biological sciences/microbiology/bacteriology";"bacteriology";""
"101110839";"/27/81/30021";"/agricultural sciences/agriculture, forestry, and fisheries/agriculture";"agriculture";""
"101149851";"/25/67/429/97581411/1181";"/engineering and technology/environmental engineering/waste management/waste treatment processes/recycling";"recycling";""
"101108071";"/23/49/327";"/natural sciences/biological sciences/neurobiology";"neurobiology";""
"101108071";"/21/35/145";"/medical and health sciences/basic medicine/pathology";"pathology";""
"101149523";"/29/89";"/social sciences/law";"law";""
"101066995";"/29/91/521/1299/1757";"/social sciences/economics and business/economics/production economics/productivity";"productivity";""
"101066995";"/23/49/335/1009";"/natural sciences/biological sciences/ecology/ecosystems";"ecosystems";""
"101066995";"/27/79/481";"/agricultural sciences/agricultural biotechnology/biomass";"biomass";""
"101066995";"/23/45/293";"/natural sciences/earth and related environmental sciences/physical geography";"physical geography";""
"101066995";"/27/81/495";"/agricultural sciences/agriculture, forestry, and fisheries/forestry";"forestry";""
"101109918";"/29/97/67681549/64785222";"/social sciences/political sciences/political transitions/revolutions";"revolutions";""
"101109918";"/29/101/561";"/social sciences/sociology/anthropology";"anthropology";""
"101155036";"/23/43/261/791/1527";"/natural sciences/physical sciences/theoretical physics/particle physics/particle accelerator";"particle accelerator";""
"101155036";"/25/63/409";"/engineering and technology/materials engineering/colors";"colors";""
"101154967";"/27/81/30021";"/agricultural sciences/agriculture, forestry, and fisheries/agriculture";"agriculture";""
"101073432";"/25/63/391";"/engineering and technology/materials engineering/coating and films";"coating and films";""
"101073432";"/27/81/495";"/agricultural sciences/agriculture, forestry, and fisheries/forestry";"forestry";""
"101107507";"/25/69";"/engineering and technology/nanotechnology";"nanotechnology";""
"101107507";"/23/43/259/777";"/natural sciences/physical sciences/electromagnetism and electronics/semiconductivity";"semiconductivity";""
"101065086";"/31/113/613";"/humanities/history and archaeology/history";"history";""
"101065086";"/23/43/257/771/1511";"/natural sciences/physical sciences/astronomy/planetary sciences/planets";"planets";""
"101065086";"/23/49/335/1009";"/natural sciences/biological sciences/ecology/ecosystems";"ecosystems";""
"101109578";"/23/53/373";"/natural sciences/chemical sciences/electrochemistry";"electrochemistry";""
"101109578";"/23/43/261/791";"/natural sciences/physical sciences/theoretical physics/particle physics";"particle physics";""
"101109578";"/23/53/369";"/natural sciences/chemical sciences/polymer sciences";"polymer sciences";""
"101109578";"/25/67/425/1169/1689/1823/1819";"/engineering and technology/environmental engineering/energy and fuels/renewable energy/hydroelectricity/marine energy/wave power";"wave power";""
"101063295";"/23/43/257/771/1511";"/natural sciences/physical sciences/astronomy/planetary sciences/planets";"planets";""
"101063295";"/23/49/335/1009";"/natural sciences/biological sciences/ecology/ecosystems";"ecosystems";""
"101146781";"/23/43/259/787";"/natural sciences/physical sciences/electromagnetism and electronics/optoelectronics";"optoelectronics";""
"101146781";"/25/69/435/1191/1699";"/engineering and technology/nanotechnology/nano-materials/two-dimensional nanostructures/graphene";"graphene";""
"101146781";"/23/43/259/777";"/natural sciences/physical sciences/electromagnetism and electronics/semiconductivity";"semiconductivity";""
"101109424";"/21/35/159/653/1439";"/medical and health sciences/basic medicine/pharmacology and pharmacy/pharmaceutical drugs/vaccines";"vaccines";""
"101109424";"/21/39/225";"/medical and health sciences/clinical medicine/oncology";"oncology";""
"101109424";"/21/35/155/643";"/medical and health sciences/basic medicine/immunology/immunotherapy";"immunotherapy";""
"101105219";"/23/45/285";"/natural sciences/earth and related environmental sciences/geochemistry";"geochemistry";""
"101105219";"/23/45/277/829";"/natural sciences/earth and related environmental sciences/environmental sciences/pollution";"pollution";""
"101105219";"/31/113/611";"/humanities/history and archaeology/archaeology";"archaeology";""
"101105219";"/27/81/30021";"/agricultural sciences/agriculture, forestry, and fisheries/agriculture";"agriculture";""
"101105219";"/29/97/543";"/social sciences/political sciences/government systems";"government systems";""
"101154092";"/29/101/559";"/social sciences/sociology/governance";"governance";""
"101154965";"/31/113/613";"/humanities/history and archaeology/history";"history";""
"101146746";"/23/49/341/325";"/natural sciences/biological sciences/microbiology/virology";"virology";""
"101146746";"/21/35/159/653/70038406";"/medical and health sciences/basic medicine/pharmacology and pharmacy/pharmaceutical drugs/antivirals";"antivirals";""
"101108907";"/31/113/613";"/humanities/history and archaeology/history";"history";""
"101108907";"/21/39/225/49564263";"/medical and health sciences/clinical medicine/oncology/lung cancer";"lung cancer";""
"101108907";"/21/35/155/643";"/medical and health sciences/basic medicine/immunology/immunotherapy";"immunotherapy";""
"101061195";"/25/67/425";"/engineering and technology/environmental engineering/energy and fuels";"energy and fuels";""
"101153815";"/23/49/341/1035";"/natural sciences/biological sciences/microbiology/bacteriology";"bacteriology";""
"101153815";"/23/49/315/997/1613";"/natural sciences/biological sciences/biochemistry/biomolecules/proteins";"proteins";""
"101153815";"/23/49/337/1017";"/natural sciences/biological sciences/genetics/mutation";"mutation";""
"101153815";"/23/49/337/1025";"/natural sciences/biological sciences/genetics/genomes";"genomes";""
"101153815";"/23/49/311";"/natural sciences/biological sciences/botany";"botany";""
"101061623";"/25/67/425/1169/1689";"/engineering and technology/environmental engineering/energy and fuels/renewable energy/hydroelectricity";"hydroelectricity";""
"101131109";"/23/45/293/911/1585";"/natural sciences/earth and related environmental sciences/physical geography/cartography/geographic information systems";"geographic information systems";""
"101061858";"/23/53/363/1103";"/natural sciences/chemical sciences/organic chemistry/alcohols";"alcohols";""
"101061858";"/23/53/69669548";"/natural sciences/chemical sciences/catalysis";"catalysis";""
"101061858";"/25/67/425";"/engineering and technology/environmental engineering/energy and fuels";"energy and fuels";""
"101072892";"/23/49/337/1021";"/natural sciences/biological sciences/genetics/RNA";"RNA";""
"101150190";"/23/49/327";"/natural sciences/biological sciences/neurobiology";"neurobiology";""
"101109773";"/23/43/267";"/natural sciences/physical sciences/atomic physics";"atomic physics";""
"101109773";"/25/69/435";"/engineering and technology/nanotechnology/nano-materials";"nano-materials";""
"101064183";"/25/67/89023697/1183";"/engineering and technology/environmental engineering/water treatment processes/wastewater treatment processes";"wastewater treatment processes";""
"101064183";"/27/83/503";"/agricultural sciences/animal and dairy science/dairy";"dairy";""
"101064183";"/25/61/383/1159";"/engineering and technology/industrial biotechnology/biomaterials/biofuels";"biofuels";""
"101064183";"/27/79/481";"/agricultural sciences/agricultural biotechnology/biomass";"biomass";""
"101064183";"/25/61/385/1151";"/engineering and technology/industrial biotechnology/bioprocessing technologies/fermentation";"fermentation";""
"101108815";"/31/113/613/30033";"/humanities/history and archaeology/history/ancient history";"ancient history";""
"101108815";"/31/113/611";"/humanities/history and archaeology/archaeology";"archaeology";""
"101108815";"/23/45/291";"/natural sciences/earth and related environmental sciences/geology";"geology";""
"101168673";"/29/91/523/1309";"/social sciences/economics and business/business and management/entrepreneurship";"entrepreneurship";""
"101168673";"/25/67/425/1169/1695";"/engineering and technology/environmental engineering/energy and fuels/renewable energy/wind power";"wind power";""
"101152070";"/23/49/315/997/1613/1815";"/natural sciences/biological sciences/biochemistry/biomolecules/proteins/proteomics";"proteomics";""
"101152070";"/29/101/1367/1771";"/social sciences/sociology/social issues/social inequalities";"social inequalities";""
"101152070";"/23/43/251/1077";"/natural sciences/physical sciences/optics/spectroscopy";"spectroscopy";""
"101065610";"/23/47/303";"/natural sciences/computer and information sciences/databases";"databases";""
"101152823";"/21/39/225";"/medical and health sciences/clinical medicine/oncology";"oncology";""
"101152823";"/23/43/251/745";"/natural sciences/physical sciences/optics/laser physics";"laser physics";""
"101152823";"/23/43/251/1077";"/natural sciences/physical sciences/optics/spectroscopy";"spectroscopy";""
"101061805";"/23/49/315/997/1613";"/natural sciences/biological sciences/biochemistry/biomolecules/proteins";"proteins";""
"101061805";"/23/53/369";"/natural sciences/chemical sciences/polymer sciences";"polymer sciences";""
"101065095";"/25/67/89023697/1183";"/engineering and technology/environmental engineering/water treatment processes/wastewater treatment processes";"wastewater treatment processes";""
"101065095";"/25/67/425/1165/1683";"/engineering and technology/environmental engineering/energy and fuels/fossil energy/natural gas";"natural gas";""
"101065095";"/23/53/371/1125";"/natural sciences/chemical sciences/nuclear chemistry/radiation chemistry";"radiation chemistry";""
"101109260";"/23/53/367/1117";"/natural sciences/chemical sciences/physical chemistry/photochemistry";"photochemistry";""
"101109260";"/23/43/251/48354418/68225803";"/natural sciences/physical sciences/optics/microscopy/super resolution microscopy";"super resolution microscopy";""
"101109260";"/23/43/261/791/1541";"/natural sciences/physical sciences/theoretical physics/particle physics/photons";"photons";""
"101109260";"/23/43/251/1077";"/natural sciences/physical sciences/optics/spectroscopy";"spectroscopy";""
"101082394";"/29/91/523/1309";"/social sciences/economics and business/business and management/entrepreneurship";"entrepreneurship";""
"101082394";"/23/43/269/811/1549";"/natural sciences/physical sciences/classical mechanics/fluid mechanics/fluid dynamics";"fluid dynamics";""
"101106260";"/21/39/225";"/medical and health sciences/clinical medicine/oncology";"oncology";""
